State,Marital Status of Parents,Christian Denomination,Previously Enrolled in Public School,Student Age,Family Income,Number of Years Enrolled
Iowa,Widowed,Orthodox,No,7,182895,2
Tennessee,Divorced,Baptist,Yes,17,159409,9
Iowa,Single,Evangelical,No,13,199382,4
South Dakota,Married,Baptist,No,11,72747,1
Delaware,Married,Other,No,5,100084,1
Rhode Island,Divorced,Orthodox,Yes,16,162487,10
Virginia,Married,Evangelical,No,7,74205,2
Iowa,Single,Pentecostal,Yes,9,81666,3
Mississippi,Married,Methodist,No,10,139015,4
Mississippi,Widowed,Methodist,Yes,18,138681,7
North Carolina,Married,Non-denominational,No,18,36402,4
Georgia,Divorced,Baptist,Yes,16,183927,1
South Carolina,Married,Catholic,Yes,14,66932,1
Illinois,Divorced,Other,No,10,143461,4
Connecticut,Married,Methodist,No,8,124085,2
Washington,Widowed,Methodist,Yes,9,135824,4
Arkansas,Divorced,Orthodox,Yes,12,171645,4
Nebraska,Married,Lutheran,Yes,11,140368,4
Illinois,Widowed,Evangelical,No,13,179309,2
Michigan,Widowed,Non-denominational,Yes,17,84047,8
Texas,Divorced,Other,Yes,14,87597,3
Mississippi,Married,Catholic,No,11,124367,2
North Carolina,Widowed,Evangelical,Yes,17,114619,2
Utah,Divorced,Non-denominational,No,16,135190,1
Louisiana,Married,Evangelical,No,15,155955,1
New York,Married,Other,Yes,6,92430,1
Washington,Divorced,Catholic,Yes,10,87907,4
Mississippi,Divorced,Catholic,No,15,105222,10
Tennessee,Widowed,Pentecostal,No,15,63664,9
Tennessee,Married,Evangelical,No,11,121117,4
Wisconsin,Married,Evangelical,No,17,151938,4
Connecticut,Married,Non-denominational,No,17,191199,12
Illinois,Single,Pentecostal,Yes,18,162980,11
Minnesota,Single,Baptist,Yes,9,75778,1
South Dakota,Divorced,Lutheran,No,13,69799,8
Nevada,Widowed,Presbyterian,No,12,183168,1
Illinois,Widowed,Pentecostal,Yes,13,172060,7
Illinois,Single,Orthodox,No,16,41983,4
California,Divorced,Baptist,No,11,114357,1
Alaska,Single,Pentecostal,Yes,14,51978,6
Vermont,Divorced,Catholic,No,18,115822,13
Pennsylvania,Married,Catholic,Yes,13,99280,7
Alabama,Single,Lutheran,Yes,12,185100,3
Arizona,Widowed,Catholic,No,15,74715,9
Indiana,Divorced,Evangelical,Yes,13,116760,8
Arkansas,Married,Other,No,16,92662,10
Kentucky,Widowed,Orthodox,Yes,9,127683,1
New Mexico,Single,Orthodox,No,12,42158,6
Maryland,Widowed,Catholic,No,6,50221,1
Florida,Widowed,Orthodox,Yes,12,61890,2
North Dakota,Single,Lutheran,No,10,161747,5
Arizona,Single,Catholic,No,15,124295,9
Vermont,Married,Methodist,No,12,30290,7
North Dakota,Married,Evangelical,Yes,10,155634,2
North Carolina,Divorced,Other,No,11,77746,5
Washington,Divorced,Lutheran,No,7,175830,2
Tennessee,Widowed,Methodist,Yes,10,128443,1
Louisiana,Widowed,Evangelical,No,5,163392,1
Georgia,Widowed,Baptist,No,9,40042,3
Idaho,Married,Other,No,5,73473,1
Maine,Divorced,Lutheran,Yes,8,175015,3
Hawaii,Married,Evangelical,Yes,17,111287,2
North Dakota,Divorced,Pentecostal,No,12,124664,1
Alabama,Single,Catholic,No,16,45256,8
Montana,Married,Orthodox,Yes,8,70985,2
North Carolina,Widowed,Presbyterian,Yes,14,80656,4
Maryland,Widowed,Orthodox,No,10,99184,4
Mississippi,Married,Lutheran,No,11,118357,2
Virginia,Single,Pentecostal,Yes,12,170595,2
New Hampshire,Single,Non-denominational,No,13,123278,7
Massachusetts,Married,Catholic,No,7,149393,2
Colorado,Married,Pentecostal,No,10,97467,3
Alabama,Widowed,Pentecostal,Yes,16,91026,3
Georgia,Divorced,Presbyterian,Yes,7,71088,1
Delaware,Divorced,Orthodox,No,5,99802,1
New Hampshire,Single,Other,No,8,109318,3
Arkansas,Married,Other,No,16,104759,5
North Dakota,Married,Baptist,No,15,93468,8
Wyoming,Single,Orthodox,No,10,187461,4
Missouri,Widowed,Orthodox,Yes,14,165419,1
Kansas,Divorced,Baptist,Yes,5,184111,1
New Jersey,Divorced,Methodist,Yes,10,106092,1
Minnesota,Widowed,Baptist,Yes,15,118282,2
Alaska,Divorced,Presbyterian,Yes,5,141817,1
Illinois,Widowed,Non-denominational,Yes,12,58286,5
New Mexico,Divorced,Pentecostal,Yes,8,100760,1
Wisconsin,Single,Lutheran,No,5,177456,1
Arizona,Married,Methodist,Yes,11,89885,2
New Mexico,Divorced,Orthodox,Yes,13,199142,1
South Dakota,Single,Other,No,12,108183,7
South Dakota,Married,Lutheran,Yes,14,141962,3
Wyoming,Single,Orthodox,No,12,125260,4
New Jersey,Divorced,Methodist,Yes,14,193105,2
Minnesota,Widowed,Non-denominational,Yes,17,99476,3
Maine,Divorced,Lutheran,Yes,12,69063,5
Massachusetts,Divorced,Baptist,No,15,195913,5
Vermont,Single,Lutheran,No,15,138307,5
Georgia,Widowed,Methodist,Yes,6,70552,1
Utah,Divorced,Baptist,No,7,85982,2
Ohio,Widowed,Non-denominational,Yes,8,125259,3
South Carolina,Married,Presbyterian,No,16,37635,6
New Mexico,Single,Presbyterian,Yes,5,36477,1
Florida,Divorced,Methodist,No,16,119355,4
Hawaii,Widowed,Methodist,Yes,16,193934,7
Delaware,Married,Other,No,18,188664,7
New York,Married,Evangelical,No,11,130340,1
Wisconsin,Widowed,Non-denominational,No,12,42090,2
Nebraska,Divorced,Orthodox,No,5,166310,1
